x,y
2290.31,1779.49
2542.83,1430.59
3227.5,535.0
3218.7,537.7
2960.4,550.2
2970.3,598.8
2083.2,647.1
3046.4,741.4
2586.4,779.4
2959.2,892.3
2907.7,922.4
2784.6,967.2
1502.8,993.7
2297.9,1025.8
2509.9,1055.8
2435.8,1092.9
3108.6,1096.7
2438.5,1100.4
2441.8,1107.3
2128.2,1108.6
2691.7,1109.7
2059.9,1126.7
2065.2,1139.7
2852.2,1153.0
2359.3,1155.8
2349.9,1158.5
2855.3,1162.7
2612.6,1216.6
3482.4,1225.5
3524.1,1231.4
2559.8,1231.9
3557.8,1240.6
3486.9,1236.2
2668.1,1245.2
2769.6,1468.3
2775.0,1480.3
2564.1,1240.4
3424.2,1240.6
3492.3,1247.2
3564.3,1251.5
3586.96,1229.41
3428.7,1252.8
3463.4,1258.8
2636.3,1262.2
2330.5,1263.3
3433.3,1264.1
2322.7,1266.1
2315.3,1269.7
2414.0,1271.1
2405.5,1275.5
3288.3,1276.3
2396.8,1276.6
2826.8,1276.8
3406.96,1284.0
3297.1,1281.8
3473.3,1284.7
3149.9,1299.9
3090.4,1301.7
3428.1,1305.6
2851.8,1326.0
3411.2,1331.8
3346.3,1331.8
2802.5,1337.6
3316.4,1349.5
2628.1,1354.0
2706.0,1228.43
2867.2,1356.5
3339.3,1359.7
3321.0,1370.0
3358.6,1360.9
2598.0,1373.1
2816.4,1373.7
3249.4,1381.4
2444.0,1391.4
2393.3,1406.1
2380.9,1411.2
3154.6,1428.1
2903.9,1429.7
2852.2,1437.9
3217.7,1446.4
2493.0,1462.7
2485.2,1466.3
2476.4,1469.8
2932.8,1470.5
2925.4,1475.0
3230.2,1477.7
2882.1,1496.1
2874.7,1499.9
2866.1,1502.2
2043.4,1502.7
1563.4,1505.4
2035.1,1506.7
2717.8,1507.7
2624.6,1345.7
2747.41,1492.6
2023.0,1512.1
2010.8,1517.2
2442.4,1520.6
3253.5,1521.5
2664.6,1534.9
2757.8,1537.4
3080.2,1539.3
3173.5,1539.4
2760.9,1545.5
3280.3,1548.8
2910.4,1552.9
2900.0,1559.8
2707.2,1563.8
2885.4,1565.8
2977.7,1567.3
2712.3,1571.5
2464.9,1576.9
2675.4,1580.0
2717.9,1585.2
2678.0,1588.8
2649.3,1591.8
2683.0,1595.9
2652.6,1599.3
1936.0,1600.1
2686.5,1604.3
3338.6,1608.0
3040.9,1610.9
3330.9,1611.5
2690.8,1612.7
3323.3,1616.0
3315.5,1617.3
2538.3,1620.9
3307.2,1621.9
2859.6,1622.0
2864.6,1630.1
2484.2,1634.9
2478.59,1637.9
2870.6,1644.5
2875.6,1651.9
3111.7,1654.5
2841.8,1658.6
3275.9,1659.7
2814.3,1672.0
2244.7,1672.1
2833.1,1672.7
1771.4,1679.5
2214.7,1684.7
1763.1,1685.5
2726.2,1686.5
3331.1,1689.3
2729.2,1695.7
2732.7,1702.9
2768.9,1702.9
1750.5,1690.6
1769.24,1717.49
1934.0,1714.0
1949.5,1739.37
1937.83,1745.5
1994.0,1705.3
2965.8,1706.7
1985.7,1708.1
2700.8,1708.7
