event_id,multiplicity,n_iterations,n_true_tracks,n_found_chains,n_exact_matches,perfect
0,1,22,1,1,1,True
1,1,21,1,1,1,True
2,1,21,1,1,1,True
3,1,21,1,1,1,True
4,1,21,1,1,1,True
5,1,21,1,1,1,True
6,1,22,1,1,1,True
7,1,20,1,1,1,True
8,1,21,1,1,1,True
9,1,21,1,1,1,True
10,1,21,1,1,1,True
11,1,21,1,1,1,True
12,1,22,1,1,1,True
13,1,20,1,1,1,True
14,1,21,1,1,1,True
15,2,23,2,3,1,False
16,2,24,2,3,1,False
17,2,19,2,1,1,False
18,2,17,2,0,0,False
19,2,20,2,1,1,False
20,2,27,2,2,1,False
21,2,24,2,2,0,False
22,2,23,2,3,1,False
23,2,23,2,2,0,False
24,2,20,2,0,0,False
25,2,22,2,2,1,False
26,2,18,2,0,0,False
27,2,23,2,2,1,False
28,2,24,2,3,1,False
29,2,20,2,1,1,False
30,3,22,3,2,2,False
31,3,24,3,2,1,False
32,3,22,3,1,1,False
33,3,27,3,3,3,True
34,3,26,3,3,2,False
35,3,24,3,2,1,False
36,3,28,3,2,0,False
37,3,35,3,4,0,False
38,3,28,3,4,2,False
39,3,22,3,3,2,False
40,3,20,3,1,1,False
41,3,29,3,3,2,False
42,3,24,3,3,1,False
43,3,24,3,1,0,False
44,3,39,3,3,1,False
45,4,20,4,0,0,False
46,4,20,4,0,0,False
47,4,30,4,3,3,False
48,4,17,4,0,0,False
49,4,44,4,4,1,False
50,4,19,4,0,0,False
51,4,23,4,1,1,False
52,4,52,4,3,0,False
53,4,20,4,4,2,False
54,4,21,4,1,1,False
55,4,20,4,1,1,False
56,4,22,4,4,2,False
57,4,21,4,4,2,False
58,4,21,4,2,0,False
59,4,26,4,3,0,False
60,5,27,5,3,2,False
61,5,25,5,3,1,False
62,5,20,5,0,0,False
63,5,56,5,5,2,False
64,5,45,5,5,2,False
65,5,22,5,2,0,False
66,5,26,5,2,2,False
67,5,38,5,4,1,False
68,5,20,5,0,0,False
69,5,43,5,2,0,False
70,5,37,5,5,1,False
71,5,24,5,5,1,False
72,5,35,5,5,3,False
73,5,22,5,1,0,False
74,5,22,5,1,1,False
75,6,20,6,1,0,False
76,6,25,6,3,2,False
77,6,42,6,3,1,False
78,6,60,6,6,1,False
79,6,36,6,4,1,False
80,6,19,6,0,0,False
81,6,20,6,0,0,False
82,6,36,6,4,4,False
83,6,18,6,0,0,False
84,6,24,6,1,0,False
85,6,33,6,2,2,False
86,6,27,6,2,2,False
87,6,33,6,3,1,False
88,6,20,6,0,0,False
89,6,21,6,1,1,False
